Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1473,Keane Lewis-Potter,eng ENG,"FW,DF",Brentford,eng Premier League,22.0,2001.0,16.0,289.0,415.0,69.6,4218.0,969.0,169.0,206.0,82.0,89.0,119.0,74.8,19.0,56.0,33.9,1.0,1.7,2.0,-0.7,13.0,11.0,14.0,4.0,32.0,Matches
1474,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,27.0,1996.0,14.1,814.0,982.0,82.9,16894.0,6421.0,236.0,268.0,88.1,465.0,501.0,92.8,111.0,199.0,55.8,0.0,1.1,0.6,-1.1,3.0,51.0,5.0,0.0,53.0,Matches
1475,Matthijs de Ligt,nl NED,DF,Bayern Munich,de Bundesliga,23.0,1999.0,15.4,1120.0,1193.0,93.9,21822.0,7091.0,313.0,330.0,94.8,709.0,730.0,97.1,93.0,121.0,76.9,0.0,0.1,0.6,-0.1,3.0,109.0,1.0,1.0,98.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,,,,,,,,,,,,,,,,,,,,,A-xAG,,,,,,Matches
1476,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,29.0,1994.0,14.8,826.0,927.0,89.1,13195.0,3696.0,398.0,435.0,91.5,355.0,385.0,92.2,48.0,70.0,68.6,1.0,0.3,0.4,+0.7,8.0,62.0,3.0,0.0,40.0,Matches
1477,Jesper Lindstrøm,dk DEN,"FW,MF",Napoli,it Serie A,23.0,2000.0,4.8,188.0,229.0,82.1,2592.0,472.0,119.0,128.0,93.0,42.0,53.0,79.2,13.0,18.0,72.2,0.0,1.0,0.9,-1.0,13.0,9.0,6.0,1.0,16.0,Matches
1478,Jesper Lindstrøm,dk DEN,FW,Eint Frankfurt,de Bundesliga,23.0,2000.0,0.9,24.0,32.0,75.0,384.0,27.0,10.0,13.0,76.9,13.0,15.0,86.7,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Matches
1479,Karol Linetty,pl POL,MF,Torino,it Serie A,28.0,1995.0,20.6,755.0,884.0,85.4,12771.0,3517.0,367.0,412.0,89.1,308.0,343.0,89.8,62.0,84.0,73.8,0.0,0.8,0.7,-0.8,15.0,79.0,6.0,1.0,87.0,Matches
1480,Samuel Lino,br BRA,"DF,MF",Atlético Madrid,es La Liga,23.0,1999.0,23.1,816.0,1015.0,80.4,11390.0,2608.0,516.0,582.0,88.7,230.0,279.0,82.4,39.0,66.0,59.1,5.0,4.7,3.5,+0.3,34.0,36.0,38.0,3.0,84.0,Matches
1481,Luca Lipani,it ITA,MF,Sassuolo,it Serie A,18.0,2005.0,4.3,123.0,160.0,76.9,2084.0,785.0,56.0,63.0,88.9,49.0,67.0,73.1,11.0,20.0,55.0,0.0,0.2,0.1,-0.2,3.0,22.0,2.0,1.0,20.0,Matches
1482,Pol Lirola,es ESP,DF,Frosinone,it Serie A,25.0,1997.0,17.1,556.0,722.0,77.0,9018.0,3289.0,302.0,341.0,88.6,194.0,248.0,78.2,47.0,89.0,52.8,1.0,1.1,1.0,-0.1,13.0,37.0,14.0,3.0,65.0,Matches
1483,Marcin Listkowski,pl POL,FW,Lecce,it Serie A,25.0,1998.0,0.1,3.0,3.0,100.0,36.0,4.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Matches
1484,Valentino Livramento,eng ENG,DF,Newcastle Utd,eng Premier League,20.0,2002.0,14.6,689.0,802.0,85.9,10004.0,2947.0,421.0,457.0,92.1,223.0,257.0,86.8,27.0,53.0,50.9,0.0,0.8,0.8,-0.8,12.0,58.0,16.0,3.0,61.0,Matches
1485,Dejan Ljubicic,at AUT,"MF,FW",Köln,de Bundesliga,25.0,1997.0,22.8,670.0,843.0,79.5,10615.0,2716.0,348.0,400.0,87.0,250.0,307.0,81.4,51.0,79.0,64.6,2.0,3.0,2.0,-1.0,28.0,54.0,20.0,5.0,84.0,Matches
1486,Javier Llabrés,es ESP,"MF,FW",Mallorca,es La Liga,20.0,2002.0,2.7,64.0,97.0,66.0,1083.0,216.0,29.0,35.0,82.9,25.0,37.0,67.6,7.0,15.0,46.7,0.0,0.3,0.3,-0.3,5.0,2.0,2.0,1.0,5.0,Matches
1487,Diego Llorente,es ESP,DF,Roma,it Serie A,29.0,1993.0,24.1,1501.0,1648.0,91.1,28395.0,9300.0,503.0,520.0,96.7,865.0,914.0,94.6,120.0,180.0,66.7,1.0,0.6,0.2,+0.4,4.0,71.0,1.0,0.0,75.0,Matches
1488,Marcos Llorente,es ESP,"MF,DF",Atlético Madrid,es La Liga,28.0,1995.0,28.5,974.0,1219.0,79.9,13597.0,3643.0,592.0,654.0,90.5,299.0,371.0,80.6,37.0,73.0,50.7,4.0,5.6,4.5,-1.6,26.0,60.0,36.0,11.0,106.0,Matches
1489,Gautier Lloris,fr FRA,DF,Le Havre,fr Ligue 1,28.0,1995.0,30.9,1194.0,1398.0,85.4,21169.0,7934.0,461.0,517.0,89.2,623.0,676.0,92.2,80.0,161.0,49.7,0.0,0.2,0.4,-0.2,3.0,80.0,3.0,0.0,105.0,Matches
1490,Abou Lô,sn SEN,"MF,DF",Metz,fr Ligue 1,23.0,2000.0,2.2,65.0,74.0,87.8,1319.0,446.0,20.0,21.0,95.2,39.0,42.0,92.9,6.0,9.0,66.7,0.0,0.3,0.0,-0.3,2.0,6.0,1.0,0.0,4.0,Matches
1491,Giovani Lo Celso,ar ARG,MF,Tottenham,eng Premier League,27.0,1996.0,5.6,449.0,503.0,89.3,6799.0,2073.0,244.0,260.0,93.8,153.0,165.0,92.7,33.0,45.0,73.3,2.0,1.9,1.9,+0.1,18.0,44.0,14.0,3.0,68.0,Matches
1492,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,28.0,1994.0,36.5,2081.0,2278.0,91.4,34504.0,8906.0,999.0,1071.0,93.3,885.0,945.0,93.7,152.0,192.0,79.2,1.0,1.3,1.6,-0.3,23.0,212.0,22.0,1.0,188.0,Matches
1493,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,25.0,1998.0,33.4,1703.0,1988.0,85.7,34595.0,11134.0,578.0,638.0,90.6,848.0,926.0,91.6,259.0,363.0,71.3,4.0,1.4,2.4,+2.6,26.0,229.0,30.0,5.0,232.0,Matches
1494,Bradley Locko,fr FRA,DF,Brest,fr Ligue 1,21.0,2002.0,32.9,1544.0,1852.0,83.4,25861.0,8098.0,760.0,863.0,88.1,607.0,701.0,86.6,127.0,205.0,62.0,3.0,1.6,1.9,+1.4,24.0,109.0,37.0,26.0,129.0,Matches
1495,Tom Lockyer,wls WAL,DF,Luton Town,eng Premier League,28.0,1994.0,13.0,301.0,422.0,71.3,6628.0,3120.0,81.0,104.0,77.9,158.0,189.0,83.6,57.0,113.0,50.4,1.0,0.6,0.3,+0.4,3.0,37.0,4.0,0.0,37.0,Matches
1496,Renan Lodi,br BRA,DF,Marseille,fr Ligue 1,25.0,1998.0,13.7,579.0,748.0,77.4,9900.0,2568.0,252.0,283.0,89.0,264.0,325.0,81.2,47.0,95.0,49.5,0.0,1.3,1.3,-1.3,14.0,37.0,11.0,7.0,51.0,Matches
1497,Ruben Loftus-Cheek,eng ENG,MF,Milan,it Serie A,27.0,1996.0,23.0,619.0,733.0,84.4,8563.0,1765.0,380.0,420.0,90.5,185.0,221.0,83.7,25.0,36.0,69.4,1.0,2.4,2.0,-1.4,25.0,50.0,12.0,1.0,74.0,Matches
1498,Andy Logbo,fr FRA,FW,Le Havre,fr Ligue 1,19.0,2004.0,2.8,31.0,40.0,77.5,349.0,37.0,18.0,23.0,78.3,7.0,10.0,70.0,1.0,2.0,50.0,0.0,0.1,0.2,-0.1,3.0,2.0,0.0,0.0,2.0,Matches
1499,Enzo Loiodice,fr FRA,MF,Las Palmas,es La Liga,22.0,2000.0,19.9,935.0,1129.0,82.8,13041.0,2865.0,569.0,635.0,89.6,277.0,323.0,85.8,40.0,74.0,54.1,1.0,1.3,1.8,-0.3,19.0,81.0,7.0,0.0,97.0,Matches
1500,Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,25.0,1997.0,30.5,991.0,1241.0,79.9,15314.0,4980.0,551.0,636.0,86.6,351.0,430.0,81.6,62.0,99.0,62.6,2.0,2.3,3.0,-0.3,20.0,82.0,26.0,4.0,145.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,,,,,,,,,,,,,,,,,,,,,A-xAG,,,,,,Matches
1501,Ademola Lookman,ng NGA,"FW,MF",Atalanta,it Serie A,25.0,1997.0,21.0,635.0,838.0,75.8,9115.0,2499.0,376.0,441.0,85.3,201.0,247.0,81.4,29.0,74.0,39.2,7.0,5.2,4.8,+1.8,50.0,46.0,32.0,2.0,97.0,Matches
1502,Noah Loosli,ch SUI,DF,Bochum,de Bundesliga,26.0,1997.0,3.8,81.0,127.0,63.8,1325.0,512.0,39.0,48.0,81.3,34.0,49.0,69.4,7.0,23.0,30.4,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,6.0,Matches
1503,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,32.0,1990.0,31.0,773.0,1035.0,74.7,20175.0,14006.0,146.0,146.0,100.0,392.0,398.0,98.5,231.0,487.0,47.4,0.0,0.3,0.2,-0.3,1.0,9.0,1.0,0.0,1.0,Matches
1504,David López,es ESP,DF,Girona,es La Liga,33.0,1989.0,21.8,1468.0,1582.0,92.8,26089.0,8718.0,520.0,551.0,94.4,849.0,882.0,96.3,76.0,115.0,66.1,0.0,0.2,0.4,-0.2,4.0,48.0,1.0,0.0,54.0,Matches
1505,Diego López,es ESP,"MF,FW",Valencia,es La Liga,21.0,2002.0,29.5,512.0,791.0,64.7,7299.0,1914.0,304.0,412.0,73.8,148.0,223.0,66.4,29.0,59.0,49.2,6.0,5.4,2.4,+0.6,39.0,35.0,21.0,7.0,73.0,Matches
1506,Fermin López,es ESP,"MF,FW",Barcelona,es La Liga,20.0,2003.0,16.1,522.0,631.0,82.7,7613.0,1710.0,321.0,349.0,92.0,138.0,172.0,80.2,38.0,54.0,70.4,0.0,1.1,1.3,-1.1,18.0,53.0,16.0,2.0,76.0,Matches
1507,Javi López,es ESP,DF,Alavés,es La Liga,21.0,2002.0,26.5,775.0,1129.0,68.6,13424.0,5698.0,391.0,458.0,85.4,282.0,395.0,71.4,84.0,204.0,41.2,3.0,3.0,2.5,0.0,14.0,63.0,21.0,16.0,92.0,Matches
1508,Maxime Lopez,fr FRA,MF,Fiorentina,it Serie A,25.0,1997.0,8.9,595.0,673.0,88.4,10449.0,3090.0,239.0,255.0,93.7,299.0,331.0,90.3,43.0,66.0,65.2,0.0,0.6,0.6,-0.6,7.0,67.0,5.0,1.0,48.0,Matches
1509,Maxime Lopez,fr FRA,MF,Sassuolo,it Serie A,25.0,1997.0,1.6,124.0,136.0,91.2,2097.0,777.0,46.0,48.0,95.8,61.0,64.0,95.3,9.0,15.0,60.0,0.0,0.2,0.2,-0.2,3.0,23.0,2.0,0.0,18.0,Matches
1510,Pau López,es ESP,GK,Marseille,fr Ligue 1,28.0,1994.0,32.7,924.0,1195.0,77.3,21981.0,14438.0,212.0,213.0,99.5,499.0,506.0,98.6,202.0,462.0,43.7,0.0,0.5,0.1,-0.5,2.0,19.0,2.0,0.0,0.0,Matches
1511,Unai López,es ESP,MF,Rayo Vallecano,es La Liga,27.0,1995.0,23.4,1184.0,1462.0,81.0,21271.0,6407.0,547.0,585.0,93.5,473.0,552.0,85.7,133.0,254.0,52.4,2.0,2.5,2.7,-0.5,31.0,113.0,26.0,7.0,116.0,Matches
1512,Dion Lopy,sn SEN,MF,Almería,es La Liga,21.0,2002.0,21.3,745.0,882.0,84.5,14551.0,3507.0,276.0,316.0,87.3,340.0,384.0,88.5,110.0,137.0,80.3,0.0,1.2,0.7,-1.2,13.0,81.0,8.0,1.0,90.0,Matches
1513,Anthony Losilla,fr FRA,MF,Bochum,de Bundesliga,37.0,1986.0,28.6,649.0,896.0,72.4,9788.0,3147.0,330.0,434.0,76.0,257.0,342.0,75.1,30.0,50.0,60.0,2.0,1.5,1.0,+0.5,19.0,69.0,10.0,3.0,100.0,Matches
1514,Jordan Lotomba,ch SUI,DF,Nice,fr Ligue 1,24.0,1998.0,20.0,834.0,994.0,83.9,11866.0,3883.0,473.0,541.0,87.4,297.0,345.0,86.1,21.0,43.0,48.8,0.0,1.1,1.3,-1.1,12.0,36.0,14.0,5.0,52.0,Matches
1515,Tom Louchet,fr FRA,"MF,DF",Nice,fr Ligue 1,20.0,2003.0,4.5,195.0,257.0,75.9,2973.0,772.0,102.0,119.0,85.7,72.0,87.0,82.8,13.0,33.0,39.4,1.0,0.7,0.7,+0.3,7.0,9.0,5.0,2.0,18.0,Matches
1516,Imran Louza,ma MAR,MF,Lorient,fr Ligue 1,24.0,1999.0,9.6,465.0,583.0,79.8,8875.0,3020.0,177.0,202.0,87.6,217.0,252.0,86.1,62.0,107.0,57.9,3.0,2.5,2.4,+0.5,25.0,65.0,15.0,1.0,83.0,Matches
1517,Matteo Lovato,it ITA,DF,Torino,it Serie A,23.0,2000.0,6.0,243.0,272.0,89.3,4102.0,968.0,95.0,106.0,89.6,135.0,147.0,91.8,7.0,11.0,63.6,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,Matches
1518,Matteo Lovato,it ITA,DF,Salernitana,it Serie A,23.0,2000.0,10.5,323.0,400.0,80.8,5859.0,2412.0,120.0,136.0,88.2,172.0,200.0,86.0,25.0,46.0,54.3,0.0,0.2,0.2,-0.2,3.0,25.0,2.0,1.0,29.0,Matches
1519,Dejan Lovren,hr CRO,DF,Lyon,fr Ligue 1,34.0,1989.0,8.0,371.0,440.0,84.3,7463.0,2174.0,104.0,127.0,81.9,215.0,232.0,92.7,42.0,66.0,63.6,0.0,0.0,0.1,0.0,1.0,24.0,0.0,0.0,20.0,Matches
1520,Sandi Lovrić,si SVN,MF,Udinese,it Serie A,25.0,1998.0,22.1,543.0,718.0,75.6,9199.0,2859.0,265.0,309.0,85.8,189.0,232.0,81.5,61.0,120.0,50.8,3.0,3.3,3.0,-0.3,43.0,65.0,12.0,7.0,80.0,Matches
1521,Max Lowe,eng ENG,"DF,MF",Sheffield Utd,eng Premier League,26.0,1997.0,5.6,84.0,130.0,64.6,1242.0,436.0,53.0,71.0,74.6,25.0,42.0,59.5,6.0,12.0,50.0,0.0,0.7,0.1,-0.7,2.0,6.0,3.0,0.0,12.0,Matches
1522,Anthony Lozano,hn HON,"MF,FW",Getafe,es La Liga,30.0,1993.0,1.0,10.0,16.0,62.5,128.0,43.0,6.0,8.0,75.0,2.0,4.0,50.0,1.0,1.0,100.0,0.0,0.3,0.2,-0.3,1.0,1.0,1.0,1.0,1.0,Matches
1523,Anthony Lozano,hn HON,FW,Almería,es La Liga,30.0,1993.0,8.6,98.0,136.0,72.1,1362.0,383.0,48.0,61.0,78.7,36.0,43.0,83.7,4.0,7.0,57.1,0.0,0.7,0.2,-0.7,7.0,12.0,1.0,0.0,16.0,Matches
1524,Lucas,br BRA,DF,Cádiz,es La Liga,22.0,2001.0,17.1,595.0,807.0,73.7,9653.0,3843.0,311.0,351.0,88.6,221.0,298.0,74.2,49.0,115.0,42.6,0.0,1.9,2.0,-1.9,22.0,33.0,21.0,14.0,47.0,Matches
1525,Lorenzo Lucca,it ITA,FW,Udinese,it Serie A,22.0,2000.0,28.8,271.0,454.0,59.7,3830.0,448.0,139.0,220.0,63.2,93.0,149.0,62.4,15.0,21.0,71.4,4.0,1.6,0.6,+2.4,20.0,14.0,5.0,0.0,18.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,,,,,,,,,,,,,,,,,,,,,A-xAG,,,,,,Matches
1526,Jhon Lucumí,co COL,DF,Bologna,it Serie A,25.0,1998.0,24.6,1734.0,1857.0,93.4,31124.0,9471.0,711.0,748.0,95.1,845.0,865.0,97.7,152.0,196.0,77.6,0.0,0.3,0.4,-0.3,4.0,105.0,5.0,0.0,93.0,Matches
1527,José Luis Gayà,es ESP,DF,Valencia,es La Liga,28.0,1995.0,19.9,801.0,1062.0,75.4,14090.0,4670.0,376.0,425.0,88.5,343.0,434.0,79.0,71.0,153.0,46.4,2.0,2.6,2.5,-0.6,25.0,50.0,22.0,12.0,72.0,Matches
1528,José Luis Morales,es ESP,"FW,MF",Villarreal,es La Liga,36.0,1987.0,11.6,154.0,214.0,72.0,2424.0,530.0,93.0,111.0,83.8,47.0,69.0,68.1,12.0,17.0,70.6,0.0,0.6,0.8,-0.6,4.0,10.0,3.0,1.0,17.0,Matches
1529,José Luis Palomino,ar ARG,DF,Atalanta,it Serie A,33.0,1990.0,0.3,25.0,32.0,78.1,513.0,194.0,8.0,10.0,80.0,12.0,14.0,85.7,4.0,7.0,57.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,Matches
1530,Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,25.0,1998.0,33.3,1800.0,2101.0,85.7,31199.0,7807.0,812.0,871.0,93.2,775.0,870.0,89.1,167.0,276.0,60.5,5.0,5.4,5.3,-0.4,53.0,137.0,39.0,8.0,168.0,Matches
1531,Romelu Lukaku,be BEL,FW,Roma,it Serie A,30.0,1993.0,29.3,438.0,621.0,70.5,5515.0,781.0,271.0,351.0,77.2,114.0,155.0,73.5,11.0,25.0,44.0,3.0,2.4,1.5,+0.6,29.0,23.0,13.0,3.0,37.0,Matches
1532,Castello Lukeba,fr FRA,DF,RB Leipzig,de Bundesliga,20.0,2002.0,24.3,1726.0,1885.0,91.6,30847.0,11113.0,636.0,673.0,94.5,982.0,1022.0,96.1,98.0,162.0,60.5,0.0,0.1,0.8,-0.1,4.0,107.0,8.0,2.0,107.0,Matches
1533,Dodi Lukebakio,be BEL,"FW,MF",Sevilla,es La Liga,25.0,1997.0,12.5,269.0,351.0,76.6,4081.0,574.0,153.0,173.0,88.4,80.0,100.0,80.0,23.0,40.0,57.5,1.0,0.7,1.1,+0.3,13.0,8.0,10.0,4.0,26.0,Matches
1534,Saša Lukić,rs SRB,MF,Fulham,eng Premier League,26.0,1996.0,12.5,428.0,496.0,86.3,6753.0,1796.0,204.0,229.0,89.1,193.0,210.0,91.9,20.0,29.0,69.0,0.0,0.8,0.5,-0.8,11.0,31.0,5.0,0.0,43.0,Matches
1535,Karlo Lulić,hr CRO,MF,Frosinone,it Serie A,27.0,1996.0,0.2,8.0,12.0,66.7,106.0,28.0,5.0,6.0,83.3,3.0,6.0,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches
1536,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,24.0,1999.0,21.0,580.0,666.0,87.1,12727.0,7874.0,147.0,148.0,99.3,330.0,335.0,98.5,100.0,176.0,56.8,0.0,0.3,0.0,-0.3,1.0,6.0,0.0,0.0,0.0,Matches
1537,Sebastiano Luperto,it ITA,DF,Empoli,it Serie A,26.0,1996.0,37.8,1455.0,1785.0,81.5,28218.0,10204.0,480.0,537.0,89.4,821.0,916.0,89.6,142.0,295.0,48.1,1.0,1.0,0.9,0.0,11.0,89.0,4.0,1.0,100.0,Matches
1538,Mateus Lusuardi,br BRA,DF,Frosinone,it Serie A,19.0,2004.0,2.4,134.0,154.0,87.0,2107.0,820.0,71.0,74.0,95.9,58.0,65.0,89.2,4.0,12.0,33.3,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,12.0,Matches
1539,Andreas Luthe,de GER,GK,Bochum,de Bundesliga,36.0,1987.0,1.0,25.0,49.0,51.0,1237.0,1147.0,0.0,0.0,,2.0,3.0,66.7,23.0,46.0,50.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,Matches
1540,Zito Luvumbo,ao ANG,"FW,MF",Cagliari,it Serie A,21.0,2002.0,21.6,246.0,388.0,63.4,3858.0,869.0,122.0,151.0,80.8,98.0,147.0,66.7,14.0,41.0,34.1,5.0,3.1,2.7,+1.9,26.0,11.0,21.0,19.0,21.0,Matches
1541,Charalambos Lykogiannis,gr GRE,DF,Bologna,it Serie A,29.0,1993.0,10.0,451.0,594.0,75.9,7235.0,2374.0,240.0,272.0,88.2,182.0,225.0,80.9,25.0,71.0,35.2,1.0,1.6,0.9,-0.6,9.0,29.0,10.0,9.0,35.0,Matches
1542,Senne Lynen,be BEL,MF,Werder Bremen,de Bundesliga,24.0,1999.0,20.0,746.0,903.0,82.6,13189.0,3571.0,321.0,370.0,86.8,334.0,394.0,84.8,76.0,109.0,69.7,3.0,1.8,1.2,+1.2,15.0,67.0,7.0,1.0,66.0,Matches
1543,Joshua M'Bahia,ci CIV,MF,Clermont Foot,fr Ligue 1,18.0,2005.0,0.2,12.0,15.0,80.0,165.0,39.0,5.0,6.0,83.3,6.0,8.0,75.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Matches
1544,Othmane Maamma,ma MAR,FW,Montpellier,fr Ligue 1,17.0,2005.0,1.0,25.0,32.0,78.1,394.0,47.0,16.0,18.0,88.9,8.0,11.0,72.7,1.0,2.0,50.0,0.0,0.5,0.1,-0.5,3.0,1.0,1.0,0.0,2.0,Matches
1545,Ian Maatsen,nl NED,"FW,MF",Chelsea,eng Premier League,21.0,2002.0,2.3,97.0,138.0,70.3,1316.0,400.0,60.0,73.0,82.2,26.0,46.0,56.5,4.0,8.0,50.0,0.0,0.1,0.2,-0.1,2.0,6.0,2.0,1.0,8.0,Matches
1546,Ian Maatsen,nl NED,DF,Dortmund,de Bundesliga,21.0,2002.0,14.0,928.0,1060.0,87.5,14738.0,4217.0,508.0,544.0,93.4,320.0,360.0,88.9,65.0,93.0,69.9,2.0,1.4,1.7,+0.6,8.0,70.0,18.0,5.0,80.0,Matches
1547,Alexis Mac Allister,ar ARG,MF,Liverpool,eng Premier League,24.0,1998.0,28.9,1704.0,1967.0,86.6,26565.0,7659.0,884.0,970.0,91.1,656.0,722.0,90.9,100.0,161.0,62.1,5.0,3.6,4.9,+1.4,47.0,162.0,41.0,2.0,209.0,Matches
1548,Deiver Machado,co COL,DF,Lens,fr Ligue 1,29.0,1993.0,12.5,383.0,488.0,78.5,5645.0,1674.0,218.0,247.0,88.3,138.0,170.0,81.2,13.0,37.0,35.1,0.0,1.3,1.1,-1.3,13.0,27.0,11.0,5.0,26.0,Matches
1549,Darwin Machís,ve VEN,MF,Cádiz,es La Liga,30.0,1993.0,8.7,177.0,290.0,61.0,3220.0,1011.0,85.0,101.0,84.2,66.0,103.0,64.1,22.0,60.0,36.7,0.0,0.7,1.1,-0.7,11.0,12.0,7.0,6.0,15.0,Matches
1550,James Maddison,eng ENG,MF,Tottenham,eng Premier League,26.0,1996.0,23.7,1210.0,1500.0,80.7,19513.0,6251.0,631.0,684.0,92.3,457.0,557.0,82.0,94.0,180.0,52.2,9.0,5.9,6.3,+3.1,67.0,130.0,59.0,3.0,224.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,,,,,,,,,,,,,,,,,,,,,A-xAG,,,,,,Matches
1551,Noni Madueke,eng ENG,FW,Chelsea,eng Premier League,21.0,2002.0,11.7,412.0,486.0,84.8,5511.0,1281.0,268.0,294.0,91.2,115.0,136.0,84.6,13.0,20.0,65.0,2.0,2.6,2.0,-0.6,20.0,23.0,13.0,2.0,52.0,Matches
1552,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,26.0,1997.0,16.2,374.0,603.0,62.0,6550.0,2806.0,172.0,207.0,83.1,155.0,233.0,66.5,38.0,116.0,32.8,2.0,0.9,0.9,+1.1,11.0,32.0,9.0,8.0,41.0,Matches
1553,Gabriel Magalhães,br BRA,DF,Arsenal,eng Premier League,25.0,1997.0,33.8,1914.0,2157.0,88.7,32123.0,10388.0,841.0,885.0,95.0,942.0,1013.0,93.0,108.0,199.0,54.3,0.0,0.7,0.7,-0.7,3.0,143.0,9.0,1.0,117.0,Matches
1554,Soungoutou Magassa,fr FRA,"DF,MF",Monaco,fr Ligue 1,19.0,2003.0,15.0,871.0,998.0,87.3,16582.0,5928.0,300.0,331.0,90.6,470.0,511.0,92.0,87.0,129.0,67.4,0.0,0.1,0.5,-0.1,2.0,86.0,2.0,1.0,92.0,Matches
1555,Giulio Maggiore,it ITA,MF,Salernitana,it Serie A,25.0,1998.0,20.0,619.0,797.0,77.7,10161.0,3055.0,298.0,353.0,84.4,250.0,298.0,83.9,50.0,86.0,58.1,2.0,1.1,0.8,+0.9,11.0,58.0,4.0,1.0,64.0,Matches
1556,Matej Maglica,hr CRO,DF,Darmstadt 98,de Bundesliga,24.0,1998.0,18.9,759.0,999.0,76.0,15428.0,5811.0,237.0,265.0,89.4,409.0,475.0,86.1,105.0,224.0,46.9,0.0,0.7,1.0,-0.7,9.0,60.0,5.0,0.0,62.0,Matches
1557,Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,27.0,1995.0,27.2,785.0,994.0,79.0,17901.0,6086.0,187.0,223.0,83.9,454.0,513.0,88.5,138.0,233.0,59.2,0.0,0.2,0.5,-0.2,6.0,76.0,2.0,1.0,79.0,Matches
1558,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,25.0,1998.0,26.0,1008.0,1143.0,88.2,16762.0,3382.0,435.0,491.0,88.6,464.0,499.0,93.0,64.0,87.0,73.6,0.0,1.8,2.5,-1.8,24.0,92.0,13.0,7.0,101.0,Matches
1559,Yohann Magnin,fr FRA,MF,Clermont Foot,fr Ligue 1,26.0,1997.0,18.7,698.0,836.0,83.5,12081.0,2932.0,313.0,368.0,85.1,290.0,333.0,87.1,72.0,95.0,75.8,0.0,0.7,1.1,-0.7,9.0,59.0,7.0,4.0,71.0,Matches
1560,Frank Magri,cm CMR,"FW,MF",Toulouse,fr Ligue 1,23.0,1999.0,16.0,231.0,333.0,69.4,3287.0,906.0,126.0,164.0,76.8,86.0,124.0,69.4,4.0,12.0,33.3,2.0,1.6,1.1,+0.4,14.0,21.0,13.0,4.0,34.0,Matches
1561,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,30.0,1993.0,18.4,917.0,1103.0,83.1,16999.0,6419.0,382.0,423.0,90.3,412.0,472.0,87.3,102.0,176.0,58.0,2.0,1.2,0.9,+0.8,6.0,78.0,6.0,0.0,73.0,Matches
1562,Jon Magunazelaia,es ESP,"FW,MF",Real Sociedad,es La Liga,23.0,2000.0,1.3,30.0,45.0,66.7,391.0,61.0,17.0,24.0,70.8,10.0,15.0,66.7,0.0,0.0,,0.0,0.5,0.3,-0.5,1.0,1.0,0.0,0.0,2.0,Matches
1563,Adel Mahamoud,km COM,FW,Nantes,fr Ligue 1,20.0,2003.0,0.1,2.0,4.0,50.0,32.0,18.0,0.0,2.0,0.0,2.0,2.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Matches
1564,Arne Maier,de GER,MF,Augsburg,de Bundesliga,24.0,1999.0,11.1,449.0,593.0,75.7,8314.0,2523.0,183.0,212.0,86.3,182.0,227.0,80.2,68.0,115.0,59.1,4.0,2.3,2.8,+1.7,28.0,49.0,27.0,8.0,64.0,Matches
1565,Habib Maïga,ci CIV,"MF,FW",Metz,fr Ligue 1,27.0,1996.0,1.6,47.0,63.0,74.6,726.0,215.0,18.0,22.0,81.8,22.0,29.0,75.9,3.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,Matches
